OBJECTID,STATION,COMMENTS,COUNTY,ABPair,Sta_Dir,Motorcycles,PassCars,Buses,SUTrucks,CTrucks,TOD,TotVol,StartDate,EndDate,TimeLabel,AllTrucks,IsPerm,PickupsPanelVans,XCOORD,YCOORD
1,301502,Sycolin Rd from 53-653 S. Shreve Mill Rd to SCL Leesburg,Loudoun County,3865738153,301502_W,3,696,30,48,2,AM,887,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,50,,110,-77.55204,39.06954
2,301502,Sycolin Rd from 53-653 S. Shreve Mill Rd to SCL Leesburg,Loudoun County,3815338657,301502_E,3,1502,49,64,2,AM,1919,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,66,,300,-77.55198251,39.06934723
3,1701,ROCHAMBEAU BRG SW between INTERSTATE 395 VA and INTERSTATE 395  DC,District of Columbia,2139030364,1701_S,45,16784,177,483,112,AM,18972,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,595,P,1370,-77.03587523,38.87924438
4,1202,INTERSTATE 66 ON ROSSEVELT MEMORIAL BRG,District of Columbia,2027220001,1202_W,51,5272,50,67,75,AM,5830,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,142,P,315,-77.05959412,38.89232808
5,3902,FRANCIS SCOTT KEY BRG NW between M ST NW and WATER ST NW,District of Columbia,2060130365,3902_S,54,2981,23,138,478,AM,4257,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,616,P,583,-77.06973467,38.90264889
6,2204A,SOUTH CAPITOL ST between I ST SW and K ST SW,District of Columbia,2128321282,2204A_S,31,2690,6,35,6,AM,2851,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,41,P,83,-77.00908372,38.87314301
7,1403,INTERSTATE 695 – 11th Street Bridge,District of Columbia,2185120965,1403_S,6,3558,103,199,24,AM,4619,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,223,P,729,-76.98951707,38.87188215
8,6002,EAST CAPITOL ST between C ST /INDEPENDENCE AVE and Ramps to Anacostia Freeway,District of Columbia,2097321179,6002_W,7,5564,21,142,396,AM,7102,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,538,P,972,-76.96471654,38.88979571
9,7069,RHODE ISLAND AVE NE between NEWTON ST NE and OTIS ST NE,District of Columbia,2117221155,7069_E,38,869,5,8,4,AM,932,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,12,P,8,-76.9638887,38.93499101
10,7032,NEW HAMPSHIRE AVE NE between BLAIR RD NE and MADISON ST NE,District of Columbia,2093420933,7032_S,10,3011,34,111,5,AM,3664,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,116,P,493,-77.00588984,38.96111769
11,7051,GEORGIA AVE NW between GERANIUM ST NW and HEMLOCK ST NW,District of Columbia,2085921435,7051_S,6,2747,41,61,24,AM,3195,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,85,P,316,-77.02657161,38.98359661
12,3808,MASSACHUSETTS AVE NW between WATERSIDE DR NW and ROCK CREEK & POTOMAC PKY NW,District of Columbia,2152820639,3808_S,11,3193,38,34,14,AM,3562,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,48,P,273,-77.05875634,38.91808333
13,7053,K ST NW between 18TH ST NW and 19TH ST NW,District of Columbia,2004020024,7053_W,3,752,398,321,24,AM,1625,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,345,P,127,-77.04255969,38.90252508
14,3606,13TH ST NW between K ST NW and L ST NW,District of Columbia,2039820105,3606_S,23,1781,126,64,30,AM,2187,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,94,P,163,-77.02962334,38.90197182
15,3707,WISCONSIN AVE NW between Jenifer ST NW and Ingomar ST NW,District of Columbia,2286421546,3707_S,4,1569,75,98,7,AM,2723,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,105,P,970,-77.08464406,38.95864458
16,3607A,BLADENSBURG RD NE between EVARTS ST NE and SOUTH DAKOTA AVE NE,District of Columbia,2116921170,3607A_S,8,1177,22,90,30,AM,1502,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,120,,174,-76.96561903,38.92480365
17,2211A,MILITARY RD NW between MISSOURI AVE NW and 14TH ST NW,District of Columbia,2084920643,2211A_W,12,2031,9,148,104,AM,2502,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,252,,198,-77.03271301,38.96194015
18,7157,MASSACHUSETTS AVE NW between WARD CIR NW and 45TH ST NW,District of Columbia,2194321552,7157_W,7,1134,10,52,21,AM,1300,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,73,,75,-77.08794078,38.93940142
19,80336,VA7 from Frederick County Line to Bus SR 7 West of Berryville,Clarke County,5402654010,80336_W,4,1364,16,29,84,AM,1851,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,113,P,354,-78.05299,39.17604
20,90049,VA7 from 53-760 Near Bluemont to Bus SR 7 West of Round Hill,Loudoun County,3824538401,90049_W,3,906,21,32,34,AM,1287,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,66,P,291,-77.78033,39.12912
21,90063,"VA7 from SR 9, Bus SR 7 Clarkes Gap to Bus SR 7; WCL Leesburg",Loudoun County,3837838130,90063_W,8,1929,40,142,62,AM,2847,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,204,P,667,-77.59412,39.1365
22,60148,US1 from 89-610 Garrisonville Rd to 89-639 Woodstock Lane,Stafford County,5102951030,60148_S,1,1040,22,29,8,AM,1320,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,37,P,221,-77.39426,38.47456
23,90170,"US1 from SR 235 S, Mount Vernon Memorial Hwy to SR 235 N, Mount Vernon Hwy",Fairfax County,3427534155,90170_S,3,2720,49,41,13,AM,3297,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,54,P,471,-77.1293,38.71886
24,160015,US1 from 88-608 Massaponax Church Rd to US 17 Poor House Rd,Spotsylvania County,5214952016,160015_S,0,964,35,53,32,AM,1403,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,85,,319,-77.50761,38.2179
25,301471,Evergreen Mills Rd from 53-617 Red Hill Rd; 53-772 to 53-771 The Woods Rd,Loudoun County,3816838398,301471_S,2,1107,16,20,4,AM,1470,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,24,,322,-77.57382,39.01099
26,190143,VA7 from SR 7 Between Round Hill and Purcellville to WCL Purcellville,Loudoun County,3853038402,190143_W,1,356,18,21,4,AM,518,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,25,,119,-77.75124,39.13667
27,160309,VA3 from Orange County Line to 88-610 Elys Ford Rd,Spotsylvania County,5213452131,160309_W,4,1077,18,45,68,AM,1628,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,113,,417,-77.68189,38.31289
28,631001,"VA3 from 111-3963, Washington Ave to 111-3973 Sophia St",Fredericksburg,5050750527,631001_W,2,468,3,11,3,AM,668,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,14,,182,-77.46265,38.30367
29,631053,VA3 from 111-3958 Hanover St to 111-3955 College Ave,Fredericksburg,5052750503,631053_W,1,446,12,12,3,AM,563,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,15,,91,-77.476,38.29654
30,631054,"VA3 from 111-3955 College Ave to SR 3 Par, Washington Ave",Fredericksburg,5052750503,631054_W,1,550,10,12,2,AM,680,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,14,,107,-77.46998,38.2996
31,631055,"VA3 from SR 3 Par, Washington Ave to Bus US 1 Caroline St",Fredericksburg,5052750507,631055_E,2,538,7,11,4,AM,750,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,15,,189,-77.46207,38.30273
32,90017,VA9 from 53-704 Hamilton Station Rd to SR 7 Clarkes Gap,Loudoun County,3854538220,90017_W,2,3093,7,18,12,AM,3753,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,30,,622,-77.62578,39.15124
33,90236,VA28 from I-66 North of Centreville to US 50 Dulles Airport,Fairfax County,3474235740,90236_S,9,4597,82,204,150,AM,6176,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,354,P,1134,-77.43845,38.86262
34,90217,VA120 from SR 237 Fairfax Dr to US 50,Arlington County,3013530640,90217_W,14,2632,49,72,9,AM,3236,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,81,P,461,-77.10778,38.87444
35,90176,VA123 from SR 193 Georgetown Pike to Arlington County Line,Fairfax County,3525434488,90176_S,8,3484,13,15,1,AM,3740,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,16,P,219,-77.13763,38.94104
36,90278,VA123 from 29-645 Burke Lake Rd to 29-7100 Fairfax County Pfwy,Fairfax County,3650034271,90278_S,3,1751,10,41,37,AM,2163,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,78,P,319,-77.31552,38.76862
37,60303,VA208 from SR 208; 88-648 Block House Rd to 88-606 Morris Rd; 88-738 Parlow Rd,Spotsylvania County,5202952005,60303_S,1,87,3,15,13,AM,185,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,28,,67,-77.61731,38.15264
38,190096,VA236 from 29-620 Braddock Rd to WCL Alexandria,Fairfax County,3618534045,190096_W,3,2866,51,28,9,AM,3275,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,37,P,319,-77.15034,38.81978
39,190159,"VA236 from SR 236 W, Main St to SR 236 E, Main St",City of Fairfax,3437036310,190159_W,1,1528,30,16,5,AM,1805,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,21,,225,-77.30682,38.84724
40,90364,VA237 from Colonial Ave to US 50 Arlington Blvd,City of Fairfax,3431736298,90364_W,1,1123,21,43,54,AM,1412,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,97,,171,-77.27109,38.85474
41,90005,VA287 from SR 9 Charles Town Pike to 53-693 Morrisonville Rd; Ash George Rd,Loudoun County,3822338222,90005_S,1,966,24,19,7,AM,1280,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,26,,264,-77.66838,39.20766
42,90007,VA287 from NCL Purcellville to SR 9 Charles Town Pike,Loudoun County,3822238218,90007_S,0,687,24,15,8,AM,939,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,23,,205,-77.69028,39.16537
43,90025,VA287 from NCL Lovettsville to Maryland State Line,Loudoun County,4216438471,90025_S,0,445,5,10,5,AM,605,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,15,,141,-77.63277,39.3006
44,628010,VA338 from 110-6609 Annandale Rd to 110-6799 Cherry St,Falls Church,3441934421,628010_W,1,668,10,21,5,AM,826,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,26,,123,-77.16935,38.87796
45,631039,US1 from Bus US 1 Par Herndon St to US 1 Jefferson Davis Highway,Fredericksburg,5053150530,631039_S,1,559,3,14,2,AM,718,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,16,,140,-77.46949,38.31449
46,631062,Caroline St between Bus SR 3 William St and Herndon St,Fredericksburg,5050750532,631062_N,2,611,5,8,2,AM,836,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,10,,209,-77.46146,38.3065
47,631065,US1 from Bus SR 3 William St to Bus US 1 Herndon St,Fredericksburg,5053250507,631065_S,0,642,3,17,4,AM,881,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,21,,216,-77.46225,38.30576
48,70016,"US15 from US 15, US 17, US 29 James Madison Hwy to SCL Warrenton",Fauquier County,5302053163,70016_S,1,354,12,18,9,AM,575,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,27,P,181,-77.78949,38.69076
49,90021,US15 from Bus US 15 North of Leesburg to 53-662 Lucketts Rd,Loudoun County,3857438128,90021_S,6,2604,18,61,77,AM,3418,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,138,P,651,-77.53899,39.15608
50,90027,US15 from SR 234 Sudley Rd to 76-701 Logmill Rd,Prince William County,4084140938,90027_S,3,889,15,43,34,AM,1331,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,77,P,348,-77.63203,38.89024
51,90029,US15 from US 29 Lee Hwy to SR 55 John Marshall Hwy,Prince William County,4056040162,90029_S,2,740,13,29,33,AM,1012,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,62,,195,-77.66283,38.80066
52,90053,US15 from 53-704 Church Rd to SCL Leesburg,Loudoun County,3837638117,90053_S,0,665,18,25,33,AM,984,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,58,,245,-77.59891,39.08401
53,90054,US15 from US 50 John Mosby Hwy to 53-704 Church Rd,Loudoun County,3811638115,90054_S,1,905,10,26,33,AM,1294,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,59,,320,-77.61728,39.0213
54,190098,US15 from NCL Leesburg to US 15 Leesburg Bypass,Loudoun County,3812938185,190098_S,0,734,55,13,1,AM,929,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,14,P,127,-77.55561,39.12788
55,60094,US17 from Bus US 17 to 88-1301,Spotsylvania County,5201352082,60094_S,2,305,1,26,25,AM,494,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,51,,136,-77.42466,38.25087
56,60306,US17 from 88-609 Jim Morris Rd; Thornton Rolling Rd to 88-771 Cosner Dr; 88-1035,Spotsylvania County,5202852014,60306_S,2,1148,33,36,46,AM,1523,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,82,,259,-77.45169,38.22398
57,70265,US17 from 30-628 Blantyre Rd to SR 245 Old Tavern Rd,Fauquier County,5314953148,70265_S,4,1146,20,47,191,AM,1841,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,238,P,432,-77.81525,38.80142
58,70268,US17 from 30-615 Goldvein to 30-634 Morrisville,Fauquier County,5300753125,70268_S,2,702,13,45,195,AM,1232,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,240,P,275,-77.68045,38.48114
59,631002,Princess Anne St between Dixon St and Bus US 1,Fredericksburg,5052450504,631002_S,1,206,7,9,0,AM,294,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,9,,71,-77.45755,38.29652
60,631004,US17 from ECL Fredericksburg to Ramp from SR 3 Connector,Fredericksburg,5050450500,631004_S,4,1263,16,66,57,AM,2096,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,123,,691,-77.45632,38.28802
61,631006,US17 from Ramp from SR 3 Connector to Charles St,Fredericksburg,5052450504,631006_S,1,476,8,16,1,AM,627,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,17,,126,-77.45667,38.29321
62,631060,Caroline St between Dixon Street and Layfayette Blvd,Fredericksburg,5050450524,631060_N,0,319,4,9,1,AM,425,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,10,,93,-77.45592,38.29781
63,70275,US29 from 30-693 Old Alexandria Tpk to SR 215 Vint Hill Rd,Fauquier County,5302853029,70275_S,3,1913,32,87,86,AM,2731,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,173,P,609,-77.68703,38.77574
64,90212,"US29 from SR 237 Par, Washington Blvd to SR 120 Glebe Rd",Arlington County,3004230598,90212_S,6,1956,11,24,7,AM,2212,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,31,P,207,-77.1593,38.88899
65,90024,"US50 from Fauquier County Line to 30-623 E, Rokeby Rd",Loudoun County,3837338265,90024_W,0,186,3,9,3,AM,271,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,12,,69,-77.84463,38.98764
66,90056,US50 from US 15 Near Aldie to 53-827 Pinebrook Rd,Loudoun County,3809738110,90056_W,3,564,19,54,16,AM,954,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,70,,300,-77.5794,38.95166
67,90059,US50 from US 50 Paris to Clarke County Line,Loudoun County,5304353047,90059_W,2,521,5,14,23,AM,774,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,37,,209,-77.95324,39.00827
68,90240,US50 from I-495 Capital Beltway to SR 7 Leesburg Pike,Fairfax County,3410236163,90240_W,3,3815,28,35,5,AM,4409,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,40,P,524,-77.18519,38.86781
69,90294,US50 from ECL Middleburg to US 15 Near Aldie,Loudoun County,3817538678,90294_W,3,376,7,14,4,AM,516,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,18,,113,-77.67687,38.97655
70,190097,US50 from SR 28 Dulles Airport to 29-7100 Fairfax County Pkwy,Fairfax County,3505334653,190097_W,10,5624,48,96,36,AM,6729,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,132,P,915,-77.39352,38.8793
71,190172,US50 from Loudoun County Line to 53-611 Saint Louis Rd,Loudoun County,5308553084,190172_W,0,239,4,7,5,AM,346,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,12,,92,-77.81428,38.97802
72,160009,US301 from SR 205 Ridge Rd to SR 218 Windsor Dr,King George County,5000450037,160009_S,3,516,12,13,59,AM,768,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,72,P,165,-77.09471,38.32395
73,80343,US340 from 21-611 Summit Point Rd to West Virginia State Line,Clarke County,5402854018,80343_S,3,858,11,19,103,AM,1231,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,122,P,238,-77.92565,39.18855
74,302285,Massaponax Church Rd between 88-639 Leavells Rd and US 1 Jefferson Davis Hwy,Spotsylvania County,5201652105,302285_W,1,433,25,25,15,AM,647,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,40,,147,-77.5199,38.19417
75,302286,Massaponax Church Rd between US 1 Jefferson Davis Hwy and 88-668 Summit Crossing Rd,Spotsylvania County,5204052016,302286_W,3,642,33,16,4,AM,850,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,20,,153,-77.48616,38.19166
76,302287,Massaponax Church Rd from 88-668 to US 17 W; 88-736,Spotsylvania County,5208452085,302287_W,0,236,24,10,3,AM,326,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,13,,54,-77.46457,38.2138
77,301461,Pleasant Valley Rd from Fairfax County Line to US 50,Loudoun County,3839738004,301461_W,3,449,12,14,1,AM,555,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,15,,77,-77.47918,38.9068
78,302291,"Old Plank Rd between SR-3 W, Plank Rd and 88-612 Catharpin Rd",Spotsylvania County,5212152123,302291_W,2,205,1,2,1,AM,288,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,3,,79,-77.62638,38.29581
79,301462,New Ford Rd from US 50 John S Mosby Hwy to Loudoun County Line,Fauquier County,3800053046,301462_S,0,222,7,6,2,AM,316,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,8,,81,-77.79715,38.97567
80,302300,Catharpin Rd between 88-613 Brock Rd and 88-610 Old Plank Rd,Spotsylvania County,5211852128,302300_S,0,94,0,2,1,AM,144,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,3,,47,-77.63463,38.26144
81,302301,Brock Rd between SR 208 Courthouse Rd and 88-648 Block House Rd,Spotsylvania County,5209852096,302301_S,9,480,2,9,8,AM,675,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,17,,169,-77.60101,38.20883
82,302315,Gordon Rd between 88-674 Chancellor Rd and 88-620 Harrison Rd,Spotsylvania County,5211152061,302315_S,2,441,5,18,3,AM,604,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,21,,136,-77.56953,38.27893
83,302317,Smith Station Rd between SR 208 Courthouse Rd and 88-1157 Elk Dr,Spotsylvania County,5210052009,302317_S,7,811,1,16,2,AM,1000,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,18,,164,-77.56009,38.24389
84,302319,Mine Rd between US 1 Jefferson Davis Hwy and 88-638 Lansdowne Rd,Spotsylvania County,5213652087,302319_W,4,1169,6,22,7,AM,1480,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,29,,273,-77.48521,38.2467
85,301487,Cascades Pkwy from 53-625 Church Rd to 53-1793 Nokes Blvd,Loudoun County,3803838581,301487_S,3,1481,33,24,4,AM,1831,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,28,,288,-77.41088,39.01818
86,301489,Potomac View Rd from SR 7 Harry Byrd Hwy to 53-839 Jefferson Dr; 53-1701 Sugarland Run Dr,Loudoun County,3800838010,301489_S,0,1007,5,16,1,AM,1182,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,17,,154,-77.38895,39.03082
87,301491,Potomac View Rd from 53-1702 Willow Place to 52-1582 Algonkian Pkwy,Loudoun County,3801938039,301491_S,0,589,13,9,1,AM,674,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,10,,63,-77.37999,39.04559
88,302323,"Salem Church Rd between 88-620 E, Harrison Rd and SR 3 W, Plank Rd",Spotsylvania County,5200852113,302323_S,7,806,5,24,7,AM,1055,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,31,,207,-77.53232,38.28074
89,301495,Ashburn Rd from 53-647 Stubble Rd to SR 7 Harry F Byrd Hwy,Loudoun County,3805238506,301495_S,2,589,18,3,3,AM,669,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,6,,55,-77.48113,39.05533
90,405218,Aden Rd from 76-772 Marsteller Dr to 76-671 Colvin Lane,Prince William County,4013740953,405218_W,0,271,13,6,1,AM,372,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,7,,82,-77.56474,38.70465
91,170015,Leeds Manor Rd from 30-691 Old Waterloo Rd to 30-798 W; Dulins Ford Rd,Fauquier County,5311153025,170015_S,1,216,2,4,1,AM,299,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,5,P,76,-77.89911,38.69563
92,301541,Hillsboro Rd from 53-711 Alder School Rd to 53-812 Gaver Mill Rd,Loudoun County,3823238085,301541_S,1,779,11,10,1,AM,985,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,11,,185,-77.72346,39.17796
93,301544,Mountain Rd from 53-697 Legard Farm Rd to 53-693 Morrisonville Rd,Loudoun County,3808838707,301544_S,0,143,1,4,0,AM,187,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,4,,40,-77.70132,39.22298
94,750041,Dry Mill Rd from 53-1015 to 53-820 Thomas Mill Rd,Loudoun County,3860238453,750041_S,1,958,2,5,1,AM,1157,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,6,,192,-77.59541,39.11097
95,301549,Harmony Church Rd from US 15 James Monroe Hwy to 53-725 Hughesville Rd,Loudoun County,3818938375,301549_S,0,672,3,8,3,AM,877,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,11,,193,-77.62126,39.09092
96,301554,Hamilton Station Rd from 53-711 Piggott Bottom Rd to SR 9 Charles Town Pike,Loudoun County,3822038544,301554_S,0,290,7,4,2,AM,399,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,6,,97,-77.64411,39.15363
97,301556,Greengarden Rd from 53-743 Millville Rd to 53-619 Trappe Rd,Loudoun County,3854838210,301556_S,0,28,2,2,1,AM,50,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,3,,18,-77.84705,39.02637
98,301559,Airmont Rd from 53-700 Woodtrail Rd to 53-734 Snickersville Tpke,Loudoun County,3821138617,301559_S,0,54,4,2,0,AM,100,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,2,,40,-77.78674,39.08368
