OBJECTID_1,Join_Count,nearest_metro_distance,TARGET_FID,OBJECTID,STATION,COMMENTS,COUNTY,ABPair,Sta_Dir,Motorcycles,PassCars,Buses,SUTrucks,CTrucks,TOD,TotVol,StartDate,EndDate,TimeLabel,AllTrucks,IsPerm,PickupsPanelVans,XCOORD,YCOORD,X,Y,OBJECTID_12,NAME,State,Jurisdiction,LINE,Year,Parking,Network_Node,WEB_URL
1,1,0.244472388069056,1,1,301502,Sycolin Rd from 53-653 S. Shreve Mill Rd to SCL Leesburg,Loudoun County,3865738153.000000000000000,301502_W,3,696,30,48,2,AM,887,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,50,,110,-77.552040000000005,39.069540000000003,-77.340064608531364,38.947748447545877,91,Wiehle-Reston East,Virginia,Fairfax County,Silver,2014,Y,8091,https://www.wmata.com/rider-guide/stations/wiehle-reston.cfm?y=35
2,1,0.244326544910975,2,2,301502,Sycolin Rd from 53-653 S. Shreve Mill Rd to SCL Leesburg,Loudoun County,3815338657.000000000000000,301502_E,3,1502,49,64,2,AM,1919,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,66,,300,-77.551982510000002,39.069347229999998,-77.340064608531364,38.947748447545877,91,Wiehle-Reston East,Virginia,Fairfax County,Silver,2014,Y,8091,https://www.wmata.com/rider-guide/stations/wiehle-reston.cfm?y=35
3,1,0.011478165007390,3,3,1701,ROCHAMBEAU BRG SW between INTERSTATE 395 VA and INTERSTATE 395  DC,District of Columbia,2139030364.000000000000000,1701_S,45,16784,177,483,112,AM,18972,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,595,P,1370,-77.035875230000002,38.879244380000003,-77.028388727437431,38.887944986028579,54,Smithsonian,District of Columbia,District of Columbia,"Blue, Orange, Silver",1977,,8070,https://www.wmata.com/rider-guide/stations/smithsonian.cfm?y=35
4,1,0.008530461572820,4,4,1202,INTERSTATE 66 ON ROSSEVELT MEMORIAL BRG,District of Columbia,2027220001.000000000000000,1202_W,51,5272,50,67,75,AM,5830,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,142,P,315,-77.059594120000000,38.892328079999999,-77.063100300211261,38.884551482255603,23,Arlington Cemetery,Virginia,Arlington County,Blue,1977,,8056,https://www.wmata.com/rider-guide/stations/arlington-cemetery.cfm?y=35
5,1,0.006764569061338,5,5,3902,FRANCIS SCOTT KEY BRG NW between M ST NW and WATER ST NW,District of Columbia,2060130365.000000000000000,3902_S,54,2981,23,138,478,AM,4257,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,616,P,583,-77.069734670000003,38.902648890000002,-77.070943519653767,38.895993210147893,22,Rosslyn,Virginia,Arlington County,"Blue, Orange, Silver",1977,,8065,https://www.wmata.com/rider-guide/stations/rosslyn.cfm?y=35
6,1,0.005176289001822,6,6,2204A,SOUTH CAPITOL ST between I ST SW and K ST SW,District of Columbia,2128321282.000000000000000,2204A_S,31,2690,6,35,6,AM,2851,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,41,P,83,-77.009083720000007,38.873143010000000,-77.005090133537692,38.876436220973126,27,Navy Yard-Ballpark,District of Columbia,District of Columbia,Green,1991,,8039,https://www.wmata.com/rider-guide/stations/navy-yard.cfm?y=35
7,1,0.010291272285728,7,7,1403,INTERSTATE 695 – 11th Street Bridge,District of Columbia,2185120965.000000000000000,1403_S,6,3558,103,199,24,AM,4619,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,223,P,729,-76.989517070000005,38.871882149999998,-76.985499800906979,38.881356950035951,80,Potomac Ave,District of Columbia,District of Columbia,"Blue, Orange, Silver",1977,,8074,https://www.wmata.com/rider-guide/stations/potomac-ave.cfm?y=35
8,1,0.012836097584635,8,8,6002,EAST CAPITOL ST between C ST /INDEPENDENCE AVE and Ramps to Anacostia Freeway,District of Columbia,2097321179.000000000000000,6002_W,7,5564,21,142,396,AM,7102,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,538,P,972,-76.964716539999998,38.889795710000001,-76.977179641776530,38.886723823451725,81,Stadium-Armory,District of Columbia,District of Columbia,"Blue, Orange, Silver",1977,Y,8075,https://www.wmata.com/rider-guide/stations/stadium-armory.cfm?y=35
9,1,0.020897749705619,9,9,7069,RHODE ISLAND AVE NE between NEWTON ST NE and OTIS ST NE,District of Columbia,2117221155.000000000000000,7069_E,38,869,5,8,4,AM,932,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,12,P,8,-76.963888699999998,38.934991009999997,-76.969634527745896,38.955083332010695,13,West Hyattsville,Maryland,Prince George's County,"Green, Yellow",1993,Y,8030,https://www.wmata.com/rider-guide/stations/west-hyattsville.cfm?y=35
10,1,0.009938973124422,10,10,7032,NEW HAMPSHIRE AVE NE between BLAIR RD NE and MADISON ST NE,District of Columbia,2093420933.000000000000000,7032_S,10,3011,34,111,5,AM,3664,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,116,P,493,-77.005889839999995,38.961117690000002,-77.002261885616022,38.951864520792718,11,Fort Totten,District of Columbia,District of Columbia,"Red, Green,Yellow",1978,Y,8021,https://www.wmata.com/rider-guide/stations/fort-totten.cfm?y=35
11,1,0.011238718778654,11,11,7051,GEORGIA AVE NW between GERANIUM ST NW and HEMLOCK ST NW,District of Columbia,2085921435.000000000000000,7051_S,6,2747,41,61,24,AM,3195,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,85,P,316,-77.026571610000005,38.983596609999999,-77.018226683704611,38.976068595367870,5,Takoma,District of Columbia,District of Columbia,Red,1978,,8022,https://www.wmata.com/rider-guide/stations/takoma.cfm?y=35
12,1,0.009513127238054,12,12,3808,MASSACHUSETTS AVE NW between WATERSIDE DR NW and ROCK CREEK & POTOMAC PKY NW,District of Columbia,2152820639.000000000000000,3808_S,11,3193,38,34,14,AM,3562,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,48,P,273,-77.058756340000002,38.918083330000002,-77.052368056952176,38.925132402645872,52,Woodley Park-Zoo/Adams Morgan,District of Columbia,District of Columbia,Red,1981,,8012,https://www.wmata.com/rider-guide/stations/woodley-park.cfm?y=35
13,1,0.002175586592413,13,13,7053,K ST NW between 18TH ST NW and 19TH ST NW,District of Columbia,2004020024.000000000000000,7053_W,3,752,398,321,24,AM,1625,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,345,P,127,-77.042559690000004,38.902525079999997,-77.040700007015374,38.901396028717436,50,Farragut West,District of Columbia,District of Columbia,"Blue, Orange, Silver",1977,,8067,https://www.wmata.com/rider-guide/stations/farragut-west.cfm?y=35
14,1,0.003980975175071,14,14,3606,13TH ST NW between K ST NW and L ST NW,District of Columbia,2039820105.000000000000000,3606_S,23,1781,126,64,30,AM,2187,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,94,P,163,-77.029623340000001,38.901971820000000,-77.027967449313323,38.898351573059735,65,Metro Center,District of Columbia,District of Columbia,"Red, Blue, Orange, Silver",1976,,8015,https://www.wmata.com/rider-guide/stations/minnesota-ave.cfm?y=35
15,1,0.000926039160411,15,15,3707,WISCONSIN AVE NW between Jenifer ST NW and Ingomar ST NW,District of Columbia,2286421546.000000000000000,3707_S,4,1569,75,98,7,AM,2723,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,105,P,970,-77.084644060000002,38.958644579999998,-77.085002231974102,38.959498547980502,36,Friendship Heights,District of Columbia,District of Columbia,Red,1984,,8008,https://www.wmata.com/rider-guide/stations/friendship-hghts.cfm?y=35
16,1,0.030192244183233,16,16,3607A,BLADENSBURG RD NE between EVARTS ST NE and SOUTH DAKOTA AVE NE,District of Columbia,2116921170.000000000000000,3607A_S,8,1177,22,90,30,AM,1502,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,120,,174,-76.965619029999999,38.924803650000001,-76.994618390084270,38.933206550435926,10,Brookland-CUA,District of Columbia,District of Columbia,Red,1978,,8020,https://www.wmata.com/rider-guide/stations/brookland.cfm?y=35
17,1,0.020235281048143,17,17,2211A,MILITARY RD NW between MISSOURI AVE NW and 14TH ST NW,District of Columbia,2084920643.000000000000000,2211A_W,12,2031,9,148,104,AM,2502,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,252,,198,-77.032713009999995,38.961940149999997,-77.018226683704611,38.976068595367870,5,Takoma,District of Columbia,District of Columbia,Red,1978,,8022,https://www.wmata.com/rider-guide/stations/takoma.cfm?y=35
18,1,0.012448508038196,18,18,7157,MASSACHUSETTS AVE NW between WARD CIR NW and 45TH ST NW,District of Columbia,2194321552.000000000000000,7157_W,7,1134,10,52,21,AM,1300,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,73,,75,-77.087940779999997,38.939401420000003,-77.079364433856071,38.948424259656363,32,Tenleytown-AU,District of Columbia,District of Columbia,Red,1984,,8009,https://www.wmata.com/rider-guide/stations/tenleytown.cfm?y=35
19,0,-1.000000000000000,19,19,80336,VA7 from Frederick County Line to Bus SR 7 West of Berryville,Clarke County,5402654010.000000000000000,80336_W,4,1364,16,29,84,AM,1851,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,113,P,354,-78.052989999999994,39.176040000000000,,,,,,,,,,,
20,1,0.476160954286736,20,20,90049,VA7 from 53-760 Near Bluemont to Bus SR 7 West of Round Hill,Loudoun County,3824538401.000000000000000,90049_W,3,906,21,32,34,AM,1287,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,66,P,291,-77.780330000000006,39.129120000000000,-77.340064608531364,38.947748447545877,91,Wiehle-Reston East,Virginia,Fairfax County,Silver,2014,Y,8091,https://www.wmata.com/rider-guide/stations/wiehle-reston.cfm?y=35
21,1,0.316498483532847,21,21,90063,"VA7 from SR 9, Bus SR 7 Clarkes Gap to Bus SR 7; WCL Leesburg",Loudoun County,3837838130.000000000000000,90063_W,8,1929,40,142,62,AM,2847,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,204,P,667,-77.594120000000004,39.136499999999998,-77.340064608531364,38.947748447545877,91,Wiehle-Reston East,Virginia,Fairfax County,Silver,2014,Y,8091,https://www.wmata.com/rider-guide/stations/wiehle-reston.cfm?y=35
22,1,0.369214890731414,22,22,60148,US1 from 89-610 Garrisonville Rd to 89-639 Woodstock Lane,Stafford County,5102951030.000000000000000,60148_S,1,1040,22,29,8,AM,1320,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,37,P,221,-77.394260000000003,38.474559999999997,-77.168208268306842,38.766485076423194,61,Franconia-Springfield,Virginia,Fairfax County,"Blue, Yellow",1997,Y,8047,https://www.wmata.com/rider-guide/stations/franconia-sprngfld.cfm?y=35
23,1,0.061497977062365,23,23,90170,"US1 from SR 235 S, Mount Vernon Memorial Hwy to SR 235 N, Mount Vernon Hwy",Fairfax County,3427534155.000000000000000,90170_S,3,2720,49,41,13,AM,3297,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,54,P,471,-77.129300000000001,38.718859999999999,-77.168208268306842,38.766485076423194,61,Franconia-Springfield,Virginia,Fairfax County,"Blue, Yellow",1997,Y,8047,https://www.wmata.com/rider-guide/stations/franconia-sprngfld.cfm?y=35
24,1,0.645088460053750,24,24,160015,US1 from 88-608 Massaponax Church Rd to US 17 Poor House Rd,Spotsylvania County,5214952016.000000000000000,160015_S,0,964,35,53,32,AM,1403,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,85,,319,-77.507610000000000,38.217900000000000,-77.168208268306842,38.766485076423194,61,Franconia-Springfield,Virginia,Fairfax County,"Blue, Yellow",1997,Y,8047,https://www.wmata.com/rider-guide/stations/franconia-sprngfld.cfm?y=35
25,1,0.242159197060382,25,25,301471,Evergreen Mills Rd from 53-617 Red Hill Rd; 53-772 to 53-771 The Woods Rd,Loudoun County,3816838398.000000000000000,301471_S,2,1107,16,20,4,AM,1470,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,24,,322,-77.573819999999998,39.010990000000000,-77.340064608531364,38.947748447545877,91,Wiehle-Reston East,Virginia,Fairfax County,Silver,2014,Y,8091,https://www.wmata.com/rider-guide/stations/wiehle-reston.cfm?y=35
26,1,0.452500336987800,26,26,190143,VA7 from SR 7 Between Round Hill and Purcellville to WCL Purcellville,Loudoun County,3853038402.000000000000000,190143_W,1,356,18,21,4,AM,518,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,25,,119,-77.751239999999996,39.136670000000002,-77.340064608531364,38.947748447545877,91,Wiehle-Reston East,Virginia,Fairfax County,Silver,2014,Y,8091,https://www.wmata.com/rider-guide/stations/wiehle-reston.cfm?y=35
27,1,0.685286374271351,27,27,160309,VA3 from Orange County Line to 88-610 Elys Ford Rd,Spotsylvania County,5213452131.000000000000000,160309_W,4,1077,18,45,68,AM,1628,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,113,,417,-77.681889999999996,38.312890000000003,-77.168208268306842,38.766485076423194,61,Franconia-Springfield,Virginia,Fairfax County,"Blue, Yellow",1997,Y,8047,https://www.wmata.com/rider-guide/stations/franconia-sprngfld.cfm?y=35
28,1,0.548537809194603,28,28,631001,"VA3 from 111-3963, Washington Ave to 111-3973 Sophia St",Fredericksburg,5050750527.000000000000000,631001_W,2,468,3,11,3,AM,668,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,14,,182,-77.462649999999996,38.303669999999997,-77.168208268306842,38.766485076423194,61,Franconia-Springfield,Virginia,Fairfax County,"Blue, Yellow",1997,Y,8047,https://www.wmata.com/rider-guide/stations/franconia-sprngfld.cfm?y=35
29,1,0.561768746678020,29,29,631053,VA3 from 111-3958 Hanover St to 111-3955 College Ave,Fredericksburg,5052750503.000000000000000,631053_W,1,446,12,12,3,AM,563,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,15,,91,-77.475999999999999,38.296540000000000,-77.168208268306842,38.766485076423194,61,Franconia-Springfield,Virginia,Fairfax County,"Blue, Yellow",1997,Y,8047,https://www.wmata.com/rider-guide/stations/franconia-sprngfld.cfm?y=35
30,1,0.555920724947183,30,30,631054,"VA3 from 111-3955 College Ave to SR 3 Par, Washington Ave",Fredericksburg,5052750503.000000000000000,631054_W,1,550,10,12,2,AM,680,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,14,,107,-77.469980000000007,38.299599999999998,-77.168208268306842,38.766485076423194,61,Franconia-Springfield,Virginia,Fairfax County,"Blue, Yellow",1997,Y,8047,https://www.wmata.com/rider-guide/stations/franconia-sprngfld.cfm?y=35
31,1,0.549020480537670,31,31,631055,"VA3 from SR 3 Par, Washington Ave to Bus US 1 Caroline St",Fredericksburg,5052750507.000000000000000,631055_E,2,538,7,11,4,AM,750,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,15,,189,-77.462069999999997,38.302729999999997,-77.168208268306842,38.766485076423194,61,Franconia-Springfield,Virginia,Fairfax County,"Blue, Yellow",1997,Y,8047,https://www.wmata.com/rider-guide/stations/franconia-sprngfld.cfm?y=35
32,1,0.350773568544796,32,32,90017,VA9 from 53-704 Hamilton Station Rd to SR 7 Clarkes Gap,Loudoun County,3854538220.000000000000000,90017_W,2,3093,7,18,12,AM,3753,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,30,,622,-77.625780000000006,39.151240000000001,-77.340064608531364,38.947748447545877,91,Wiehle-Reston East,Virginia,Fairfax County,Silver,2014,Y,8091,https://www.wmata.com/rider-guide/stations/wiehle-reston.cfm?y=35
33,1,0.130102028504986,33,33,90236,VA28 from I-66 North of Centreville to US 50 Dulles Airport,Fairfax County,3474235740.000000000000000,90236_S,9,4597,82,204,150,AM,6176,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,354,P,1134,-77.438450000000003,38.862620000000000,-77.340064608531364,38.947748447545877,91,Wiehle-Reston East,Virginia,Fairfax County,Silver,2014,Y,8091,https://www.wmata.com/rider-guide/stations/wiehle-reston.cfm?y=35
34,1,0.008699693158943,34,34,90217,VA120 from SR 237 Fairfax Dr to US 50,Arlington County,3013530640.000000000000000,90217_W,14,2632,49,72,9,AM,3236,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,81,P,461,-77.107780000000005,38.874440000000000,-77.111437724464594,38.882333396761361,49,Ballston-MU,Virginia,Arlington County,"Orange, Silver",1979,Y,8061,https://www.wmata.com/rider-guide/stations/ballston.cfm?y=35
35,1,0.055770959817170,35,35,90176,VA123 from SR 193 Georgetown Pike to Arlington County Line,Fairfax County,3525434488.000000000000000,90176_S,8,3484,13,15,1,AM,3740,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,16,P,219,-77.137630000000001,38.941040000000001,-77.085002231974102,38.959498547980502,36,Friendship Heights,District of Columbia,District of Columbia,Red,1984,,8008,https://www.wmata.com/rider-guide/stations/friendship-hghts.cfm?y=35
36,1,0.117132762599412,36,36,90278,VA123 from 29-645 Burke Lake Rd to 29-7100 Fairfax County Pfwy,Fairfax County,3650034271.000000000000000,90278_S,3,1751,10,41,37,AM,2163,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,78,P,319,-77.315520000000006,38.768619999999999,-77.272626990742040,38.877616668570987,35,Vienna/Fairfax-GMU,Virginia,Fairfax County,Orange,1986,Y,8057,https://www.wmata.com/rider-guide/stations/vienna.cfm?y=35
37,0,-1.000000000000000,37,37,60303,VA208 from SR 208; 88-648 Block House Rd to 88-606 Morris Rd; 88-738 Parlow Rd,Spotsylvania County,5202952005.000000000000000,60303_S,1,87,3,15,13,AM,185,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,28,,67,-77.617310000000003,38.152639999999998,,,,,,,,,,,
38,1,0.029435182688034,38,38,190096,VA236 from 29-620 Braddock Rd to WCL Alexandria,Fairfax County,3618534045.000000000000000,190096_W,3,2866,51,28,9,AM,3275,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,37,P,319,-77.150340000000000,38.819780000000002,-77.129123658738450,38.799376645873643,60,Van Dorn Street,Virginia,Fairfax County,"Blue, Yellow",1991,Y,8046,https://www.wmata.com/rider-guide/stations/van-dorn-st.cfm?y=35
39,1,0.045737335777342,39,39,190159,"VA236 from SR 236 W, Main St to SR 236 E, Main St",City of Fairfax,3437036310.000000000000000,190159_W,1,1528,30,16,5,AM,1805,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,21,,225,-77.306820000000002,38.847239999999999,-77.272626990742040,38.877616668570987,35,Vienna/Fairfax-GMU,Virginia,Fairfax County,Orange,1986,Y,8057,https://www.wmata.com/rider-guide/stations/vienna.cfm?y=35
40,1,0.022928242973916,40,40,90364,VA237 from Colonial Ave to US 50 Arlington Blvd,City of Fairfax,3431736298.000000000000000,90364_W,1,1123,21,43,54,AM,1412,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,97,,171,-77.271090000000001,38.854740000000000,-77.272626990742040,38.877616668570987,35,Vienna/Fairfax-GMU,Virginia,Fairfax County,Orange,1986,Y,8057,https://www.wmata.com/rider-guide/stations/vienna.cfm?y=35
41,1,0.418742177038005,41,41,90005,VA287 from SR 9 Charles Town Pike to 53-693 Morrisonville Rd; Ash George Rd,Loudoun County,3822338222.000000000000000,90005_S,1,966,24,19,7,AM,1280,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,26,,264,-77.668379999999999,39.207659999999997,-77.340064608531364,38.947748447545877,91,Wiehle-Reston East,Virginia,Fairfax County,Silver,2014,Y,8091,https://www.wmata.com/rider-guide/stations/wiehle-reston.cfm?y=35
42,1,0.412322640644662,42,42,90007,VA287 from NCL Purcellville to SR 9 Charles Town Pike,Loudoun County,3822238218.000000000000000,90007_S,0,687,24,15,8,AM,939,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,23,,205,-77.690280000000001,39.165370000000003,-77.340064608531364,38.947748447545877,91,Wiehle-Reston East,Virginia,Fairfax County,Silver,2014,Y,8091,https://www.wmata.com/rider-guide/stations/wiehle-reston.cfm?y=35
43,1,0.458454647341759,43,43,90025,VA287 from NCL Lovettsville to Maryland State Line,Loudoun County,4216438471.000000000000000,90025_S,0,445,5,10,5,AM,605,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,15,,141,-77.632769999999994,39.300600000000003,-77.340064608531364,38.947748447545877,91,Wiehle-Reston East,Virginia,Fairfax County,Silver,2014,Y,8091,https://www.wmata.com/rider-guide/stations/wiehle-reston.cfm?y=35
44,1,0.014894287134118,44,44,628010,VA338 from 110-6609 Annandale Rd to 110-6799 Cherry St,Falls Church,3441934421.000000000000000,628010_W,1,668,10,21,5,AM,826,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,26,,123,-77.169349999999994,38.877960000000002,-77.156851371322190,38.886060868277248,47,East Falls Church,Virginia,Arlington County,"Orange, Silver",1986,Y,8060,https://www.wmata.com/rider-guide/stations/e-falls-church.cfm?y=35
45,1,0.543203673372311,45,45,631039,US1 from Bus US 1 Par Herndon St to US 1 Jefferson Davis Highway,Fredericksburg,5053150530.000000000000000,631039_S,1,559,3,14,2,AM,718,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,16,,140,-77.469489999999993,38.314489999999999,-77.168208268306842,38.766485076423194,61,Franconia-Springfield,Virginia,Fairfax County,"Blue, Yellow",1997,Y,8047,https://www.wmata.com/rider-guide/stations/franconia-sprngfld.cfm?y=35
46,1,0.545511547507255,46,46,631062,Caroline St between Bus SR 3 William St and Herndon St,Fredericksburg,5050750532.000000000000000,631062_N,2,611,5,8,2,AM,836,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,10,,209,-77.461460000000002,38.306500000000000,-77.168208268306842,38.766485076423194,61,Franconia-Springfield,Virginia,Fairfax County,"Blue, Yellow",1997,Y,8047,https://www.wmata.com/rider-guide/stations/franconia-sprngfld.cfm?y=35
47,1,0.546560276467977,47,47,631065,US1 from Bus SR 3 William St to Bus US 1 Herndon St,Fredericksburg,5053250507.000000000000000,631065_S,0,642,3,17,4,AM,881,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,21,,216,-77.462249999999997,38.305759999999999,-77.168208268306842,38.766485076423194,61,Franconia-Springfield,Virginia,Fairfax County,"Blue, Yellow",1997,Y,8047,https://www.wmata.com/rider-guide/stations/franconia-sprngfld.cfm?y=35
48,1,0.517712511420102,48,48,70016,"US15 from US 15, US 17, US 29 James Madison Hwy to SCL Warrenton",Fauquier County,5302053163.000000000000000,70016_S,1,354,12,18,9,AM,575,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,27,P,181,-77.789490000000001,38.690759999999997,-77.340064608531364,38.947748447545877,91,Wiehle-Reston East,Virginia,Fairfax County,Silver,2014,Y,8091,https://www.wmata.com/rider-guide/stations/wiehle-reston.cfm?y=35
49,1,0.288050944701157,49,49,90021,US15 from Bus US 15 North of Leesburg to 53-662 Lucketts Rd,Loudoun County,3857438128.000000000000000,90021_S,6,2604,18,61,77,AM,3418,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,138,P,651,-77.538989999999998,39.156080000000003,-77.340064608531364,38.947748447545877,91,Wiehle-Reston East,Virginia,Fairfax County,Silver,2014,Y,8091,https://www.wmata.com/rider-guide/stations/wiehle-reston.cfm?y=35
50,1,0.297575219286080,50,50,90027,US15 from SR 234 Sudley Rd to 76-701 Logmill Rd,Prince William County,4084140938.000000000000000,90027_S,3,889,15,43,34,AM,1331,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,77,P,348,-77.632030000000000,38.890239999999999,-77.340064608531364,38.947748447545877,91,Wiehle-Reston East,Virginia,Fairfax County,Silver,2014,Y,8091,https://www.wmata.com/rider-guide/stations/wiehle-reston.cfm?y=35
51,1,0.354700590868463,51,51,90029,US15 from US 29 Lee Hwy to SR 55 John Marshall Hwy,Prince William County,4056040162.000000000000000,90029_S,2,740,13,29,33,AM,1012,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,62,,195,-77.662830000000000,38.800660000000001,-77.340064608531364,38.947748447545877,91,Wiehle-Reston East,Virginia,Fairfax County,Silver,2014,Y,8091,https://www.wmata.com/rider-guide/stations/wiehle-reston.cfm?y=35
52,1,0.292520336037352,52,52,90053,US15 from 53-704 Church Rd to SCL Leesburg,Loudoun County,3837638117.000000000000000,90053_S,0,665,18,25,33,AM,984,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,58,,245,-77.598910000000004,39.084009999999999,-77.340064608531364,38.947748447545877,91,Wiehle-Reston East,Virginia,Fairfax County,Silver,2014,Y,8091,https://www.wmata.com/rider-guide/stations/wiehle-reston.cfm?y=35
53,1,0.286806910322745,53,53,90054,US15 from US 50 John Mosby Hwy to 53-704 Church Rd,Loudoun County,3811638115.000000000000000,90054_S,1,905,10,26,33,AM,1294,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,59,,320,-77.617279999999994,39.021299999999997,-77.340064608531364,38.947748447545877,91,Wiehle-Reston East,Virginia,Fairfax County,Silver,2014,Y,8091,https://www.wmata.com/rider-guide/stations/wiehle-reston.cfm?y=35
54,1,0.280904239212003,54,54,190098,US15 from NCL Leesburg to US 15 Leesburg Bypass,Loudoun County,3812938185.000000000000000,190098_S,0,734,55,13,1,AM,929,2017-01-01T06:00:00.000Z,2017-01-01T08:59:59.000Z,AM: 6:00 AM – 8:59 AM,14,P,127,-77.555610000000001,39.127879999999998,-77.340064608531364,38.947748447545877,91,Wiehle-Reston East,Virginia,Fairfax County,Silver,2014,Y,8091,https://www.wmata.com/rider-guide/stations/wiehle-reston.cfm?y=35
